;Fold;Execution;MSE;Epochs;Time;Accuracy
0;1;1;0.1746989662894593;599;653.25;0.7391304347826086
1;1;2;0.2453764991755734;599;653.9;0.7391304347826086
2;1;3;0.20676866616900516;599;654.61;0.8260869565217391
3;2;1;0.5007717671424837;599;654.04;0.6521739130434783
4;2;2;0.35484321872258595;599;654.94;0.6521739130434783
5;2;3;0.43696645016123103;599;653.73;0.6086956521739131
6;3;1;0.20977896790105444;599;646.49;0.4782608695652174
7;3;2;0.20016343007668194;599;648.05;0.4782608695652174
8;3;3;0.23598335037628668;599;651.04;0.5652173913043478
9;4;1;0.26233861485237736;599;687.2;0.43478260869565216
10;4;2;0.24586827280633558;599;720.81;0.4782608695652174
11;4;3;0.282823227613416;599;808.58;0.43478260869565216
12;5;1;0.29961725339262657;599;1173.66;0.6086956521739131
13;5;2;0.30081148042862627;599;742.76;0.4782608695652174
14;5;3;0.2755445179632337;599;702.19;0.6086956521739131
15;6;1;0.26176349481091343;599;693.42;0.34782608695652173
16;6;2;0.28700951841964184;599;693.93;0.391304347826087
17;6;3;0.2916482790563856;599;697.18;0.34782608695652173
18;7;1;0.3204298943372264;599;695.7;0.6521739130434783
19;7;2;0.32892209237636144;599;693.28;0.6956521739130435
20;7;3;0.3483469511560388;599;694.3;0.6521739130434783
21;8;1;0.31478042622515207;599;670.84;0.6521739130434783
22;8;2;0.2731779711605671;599;651.93;0.5652173913043478
23;8;3;0.27812988044820713;599;652.04;0.6521739130434783
24;9;1;0.21544239326061124;599;654.26;0.6521739130434783
25;9;2;0.22727855672481348;599;663.91;0.6956521739130435
26;9;3;0.19809786606175822;599;651.19;0.6086956521739131
27;10;1;0.28362873258816385;599;648.72;0.782608695652174
28;10;2;0.2874250127205894;599;648.71;0.6956521739130435
29;10;3;0.3162222962161084;599;650.97;0.7391304347826086
