;Fold;Execution;MSE;Epochs;Time;Accuracy
0;1;1;0.7092178297694204;599;141.09;0.5652173913043478
1;1;2;0.6663552243785371;599;139.99;0.6956521739130435
2;1;3;0.6945290408760938;599;140.16;0.6086956521739131
3;2;1;0.6725828243891714;599;140.3;0.5652173913043478
4;2;2;0.6537858647079153;599;138.62;0.5217391304347826
5;2;3;0.743127450737978;599;139.39;0.6086956521739131
6;3;1;0.7345137463178811;599;138.99;0.6086956521739131
7;3;2;0.775683146660159;599;139.35;0.5652173913043478
8;3;3;0.6469516124224591;599;139.06;0.5217391304347826
9;4;1;0.634560518683193;599;138.92;0.43478260869565216
10;4;2;0.6219665313935275;599;139.04;0.4782608695652174
11;4;3;0.5777076423636518;599;139.35;0.6086956521739131
12;5;1;0.8236733226526161;599;139.58;0.4782608695652174
13;5;2;0.9045882898545161;599;139.27;0.43478260869565216
14;5;3;0.9770824449902514;599;139.24;0.43478260869565216
15;6;1;0.7772719574872505;599;139.78;0.391304347826087
16;6;2;0.7847603546360146;599;139.27;0.391304347826087
17;6;3;0.7651376918026304;599;139.54;0.5217391304347826
18;7;1;0.8968092520572025;599;139.34;0.6086956521739131
19;7;2;0.6383786387735091;599;139.26;0.6521739130434783
20;7;3;0.6331746542919975;599;140.0;0.5217391304347826
21;8;1;0.8762780754929465;599;139.77;0.6521739130434783
22;8;2;0.8688320376014784;599;139.37;0.6086956521739131
23;8;3;0.8923753087110569;599;139.3;0.6521739130434783
24;9;1;0.7400949403544057;599;139.34;0.5652173913043478
25;9;2;0.7958075426714644;599;139.22;0.4782608695652174
26;9;3;0.6572844460181365;599;139.46;0.5652173913043478
27;10;1;0.8302165781184828;599;133.4;0.7391304347826086
28;10;2;0.8425567310928276;599;130.87;0.6521739130434783
29;10;3;0.793853735771419;599;131.04;0.6521739130434783
