;Fold;Execution;MSE;Epochs;Time;Accuracy
0;1;1;0.46892336822404124;599;1717.99;0.4782608695652174
1;1;2;0.47062350938364217;599;1190.67;0.43478260869565216
2;1;3;0.4770273110543929;599;1192.31;0.43478260869565216
3;2;1;0.572740193220889;599;1184.68;0.4782608695652174
4;2;2;0.5862115221983202;599;1216.02;0.5217391304347826
5;2;3;0.6081787703826582;599;1239.25;0.5217391304347826
6;3;1;0.5914093431488132;599;1205.97;0.6956521739130435
7;3;2;0.5825302955255841;599;1212.45;0.6086956521739131
8;3;3;0.5561099626469007;599;1282.58;0.6086956521739131
9;4;1;0.5569319809280731;599;1154.03;0.5909090909090909
10;4;2;0.5263648906493691;599;1116.73;0.6818181818181818
11;4;3;0.5269950352065705;599;1109.97;0.6818181818181818
12;5;1;0.5761965402541528;599;1109.76;0.6818181818181818
13;5;2;0.5603976191486021;599;1110.34;0.6363636363636364
14;5;3;0.5706418332329574;599;1112.15;0.6818181818181818
15;6;1;0.542795186730418;599;1115.72;0.5909090909090909
16;6;2;0.5135210895209804;599;1111.59;0.6818181818181818
17;6;3;0.5173599767899665;599;1117.64;0.6363636363636364
18;7;1;0.5425230388089158;599;1158.31;0.5714285714285714
19;7;2;0.5942999939178399;599;1137.71;0.47619047619047616
20;7;3;0.5989440441199635;599;1140.87;0.5238095238095238
21;8;1;0.5649477521453301;599;1135.29;0.85
22;8;2;0.5322374143793857;599;1121.73;0.85
23;8;3;0.6927914557927524;599;1148.18;0.8
24;9;1;0.5108513514705136;599;1150.77;0.65
25;9;2;0.5386455171630057;599;1126.28;0.65
26;9;3;0.5478015248362609;599;1122.74;0.6
27;10;1;0.6461892382220146;599;1128.65;0.6666666666666666
28;10;2;0.5914376649876769;599;1153.36;0.5555555555555556
29;10;3;0.5901626460530467;599;1133.05;0.6666666666666666
