;Fold;Execution;MSE;Epochs;Time;Accuracy
0;1;1;0.0373228174131446;599;37.08;0.9333333333333333
1;1;2;0.0201431849168458;599;38.98;0.9333333333333333
2;1;3;0.017419978778769062;599;38.41;0.9333333333333333
3;2;1;0.025505880463036167;599;39.79;1.0
4;2;2;0.02944863269853073;599;40.82;0.9333333333333333
5;2;3;0.03466225986174856;599;37.91;1.0
6;3;1;0.023429148185199214;599;36.89;0.8666666666666667
7;3;2;0.022551300166361896;599;36.73;0.9333333333333333
8;3;3;0.022545228010411464;599;36.75;0.9333333333333333
9;4;1;0.026726559870380254;599;37.09;1.0
10;4;2;0.0270261813935253;599;36.7;1.0
11;4;3;0.03003500311677867;599;36.82;0.9333333333333333
12;5;1;0.026437148733115236;599;36.72;0.9333333333333333
13;5;2;0.027753565090569914;599;36.78;0.9333333333333333
14;5;3;0.026153858253045947;599;36.76;0.9333333333333333
15;6;1;0.011700231730255535;599;36.7;0.8666666666666667
16;6;2;0.023866700035626034;599;36.76;0.9333333333333333
17;6;3;0.012398453792456153;599;36.61;0.8666666666666667
18;7;1;0.02412402857433071;599;36.78;1.0
19;7;2;0.025691259526422577;599;36.82;1.0
20;7;3;0.022984136220679744;599;45.87;1.0
21;8;1;0.02934095209813706;599;45.98;1.0
22;8;2;0.03357490512709602;599;45.76;1.0
23;8;3;0.03612206479405378;599;45.83;1.0
24;9;1;0.02756273672994823;599;36.73;1.0
25;9;2;0.030601336361544076;599;36.78;1.0
26;9;3;0.027472676491429062;599;36.72;1.0
27;10;1;0.02502736275835924;599;37.14;1.0
28;10;2;0.026850580660233943;599;38.75;1.0
29;10;3;0.02170016627664283;599;38.71;1.0
