;Fold;Execution;MSE;Epochs;Time;Accuracy
0;1;1;0.04588108271667445;599;37.48;0.9333333333333333
1;1;2;0.03945914666954742;599;36.52;0.9333333333333333
2;1;3;0.0529338171859576;599;33.99;0.9333333333333333
3;2;1;0.046694728929937694;599;33.08;0.8666666666666667
4;2;2;0.046376999925271674;599;34.35;0.8666666666666667
5;2;3;0.045844703590502155;599;33.33;0.8666666666666667
6;3;1;0.045377435800294706;599;32.48;0.9333333333333333
7;3;2;0.041726626492288435;599;37.01;0.9333333333333333
8;3;3;0.04244873246715918;599;34.98;0.9333333333333333
9;4;1;0.04590759148609287;599;35.48;0.9333333333333333
10;4;2;0.04328773875171873;599;34.59;0.9333333333333333
11;4;3;0.04527247057110329;599;35.73;0.9333333333333333
12;5;1;0.04479422410772524;599;36.69;0.9333333333333333
13;5;2;0.04440646123728719;599;36.39;0.9333333333333333
14;5;3;0.04450456822663626;599;33.98;0.9333333333333333
15;6;1;0.03345883560355765;599;33.94;1.0
16;6;2;0.03397583004835663;599;34.06;1.0
17;6;3;0.034255456000018;599;34.45;0.9333333333333333
18;7;1;0.04319090409325335;599;35.63;0.9333333333333333
19;7;2;0.05014300163190669;599;35.94;0.9333333333333333
20;7;3;0.04490757173206196;599;35.84;0.9333333333333333
21;8;1;0.04809736123143062;599;33.6;1.0
22;8;2;0.04982469520905856;599;31.47;0.9333333333333333
23;8;3;0.04857540865297652;599;31.06;0.9333333333333333
24;9;1;0.062338387430365905;599;31.15;0.9333333333333333
25;9;2;0.053788141086300034;599;31.05;0.9333333333333333
26;9;3;0.06383036341946782;599;31.04;0.9333333333333333
27;10;1;0.04354992974665669;599;30.97;1.0
28;10;2;0.046987488603208255;599;31.06;1.0
29;10;3;0.05242482507781384;599;30.98;1.0
