;Fold;Execution;MSE;Epochs;Time;Accuracy
0;1;1;0.19463809855255254;599;54.85;0.7333333333333333
1;1;2;0.048195110975865936;599;56.5;0.9333333333333333
2;1;3;0.03583256328844865;599;56.98;1.0
3;2;1;0.03878768622572116;599;55.81;0.9333333333333333
4;2;2;0.03540747890128638;599;55.88;0.9333333333333333
5;2;3;0.04142070544623674;599;55.61;0.9333333333333333
6;3;1;0.04290759708452619;599;55.17;0.9333333333333333
7;3;2;0.02706247317146236;599;54.97;0.9333333333333333
8;3;3;0.027255471842710297;599;55.05;0.9333333333333333
9;4;1;0.023673741241238982;599;55.12;1.0
10;4;2;0.03388810409991151;599;57.12;1.0
11;4;3;0.10459054401488535;599;63.0;0.8
12;5;1;0.06792744284678147;599;87.25;0.9333333333333333
13;5;2;0.06998100651479763;599;105.46;0.9333333333333333
14;5;3;0.03740087099097603;599;80.99;1.0
15;6;1;0.029930861441198664;599;96.93;0.9333333333333333
16;6;2;0.07162929098057734;599;107.77;0.9333333333333333
17;6;3;0.22059385624199465;599;107.53;0.7333333333333333
18;7;1;0.07597686439188048;599;107.8;0.9333333333333333
19;7;2;0.23678073054816992;599;107.28;0.7333333333333333
20;7;3;0.032353623202836655;599;106.28;0.9333333333333333
21;8;1;0.04168807496582985;599;107.0;1.0
22;8;2;0.25305176119128864;599;99.04;0.6666666666666666
23;8;3;0.03489683900279103;599;71.26;1.0
24;9;1;0.09931757002386486;599;60.72;0.9333333333333333
25;9;2;0.1283227966277668;599;63.44;0.7333333333333333
26;9;3;0.06892343303589814;599;61.82;1.0
27;10;1;0.06469974337504622;599;63.94;0.9333333333333333
28;10;2;0.09467245007567081;599;60.45;1.0
29;10;3;0.04281062627565668;599;60.42;0.9333333333333333
