;Fold;Execution;MSE;Epochs;Time;Accuracy
0;1;1;0.000532759179743898;599;97.06;1.0
1;1;2;0.0023266148165103752;599;95.04;1.0
2;1;3;0.0009081502213978476;599;96.66;1.0
3;2;1;0.0022721404479178814;599;98.92;0.9444444444444444
4;2;2;0.000900606584885329;599;97.87;0.9444444444444444
5;2;3;0.0005570249490469914;599;97.93;0.9444444444444444
6;3;1;0.000603862956860579;599;96.9;0.9444444444444444
7;3;2;0.0008128718292875368;599;97.45;0.9444444444444444
8;3;3;0.0009310280993822972;599;109.12;1.0
9;4;1;0.0009860073329239288;599;98.93;0.9444444444444444
10;4;2;0.0008416244363999097;599;97.68;0.9444444444444444
11;4;3;0.0006356457724160452;599;96.96;0.9444444444444444
12;5;1;0.0007828069440809225;599;102.13;0.8888888888888888
13;5;2;0.0005790823220180372;599;98.68;0.8888888888888888
14;5;3;0.000522177686973974;599;97.35;0.7777777777777778
15;6;1;0.0007844233804632017;599;169.09;0.9444444444444444
16;6;2;0.0009466127954662119;599;146.3;0.9444444444444444
17;6;3;0.0009843532114206812;599;106.36;0.9444444444444444
18;7;1;0.0005350727262380966;599;98.45;1.0
19;7;2;0.0005439081372314642;599;151.79;1.0
20;7;3;0.0008322476699276181;599;132.21;1.0
21;8;1;0.0014864556037220457;599;170.3;0.8333333333333334
22;8;2;0.001120747705908667;599;162.83;0.7777777777777778
23;8;3;0.000871235814986351;599;167.72;0.8888888888888888
24;9;1;0.0007082044096741046;599;97.47;1.0
25;9;2;0.0008083808613997469;599;96.32;1.0
26;9;3;0.0008534285371895531;599;95.86;1.0
27;10;1;0.0008784558132145473;599;95.83;1.0
28;10;2;0.0009240849021527026;599;95.49;1.0
29;10;3;0.002694223140565082;599;96.97;1.0
