;Fold;Execution;MSE;Epochs;Time;Accuracy
0;1;1;0.0007423577005393943;599;108.04;1.0
1;1;2;0.0009067831911357967;599;119.08;1.0
2;1;3;0.0009418943369054525;599;119.54;1.0
3;2;1;0.000849652897759957;599;114.99;0.9444444444444444
4;2;2;0.0011161875784776595;599;111.8;0.9444444444444444
5;2;3;0.0008836584641213217;599;107.33;0.9444444444444444
6;3;1;0.0011701918549304829;599;106.16;0.9444444444444444
7;3;2;0.0009645669662408264;599;106.13;0.9444444444444444
8;3;3;0.0008946420218938119;599;111.86;0.9444444444444444
9;4;1;0.0009478480790049085;599;111.59;0.9444444444444444
10;4;2;0.0010561482158514535;599;105.65;0.9444444444444444
11;4;3;0.0008142690129189883;599;105.9;0.9444444444444444
12;5;1;0.0007420736290653737;599;110.77;0.8888888888888888
13;5;2;0.0007625579653241467;599;115.04;0.8333333333333334
14;5;3;0.0008310825839589426;599;106.2;0.8888888888888888
15;6;1;0.0007346178088091802;599;106.31;0.9444444444444444
16;6;2;0.0006119204871283997;599;106.58;0.9444444444444444
17;6;3;0.0007048097131554557;599;106.04;0.9444444444444444
18;7;1;0.000654845493676966;599;107.08;1.0
19;7;2;0.0006728390771741999;599;106.58;1.0
20;7;3;0.0007549084812403473;599;107.34;1.0
21;8;1;0.0007530191121605939;599;112.93;0.8888888888888888
22;8;2;0.0007268997055796343;599;116.12;0.8888888888888888
23;8;3;0.0007117713752744921;599;118.55;0.8333333333333334
24;9;1;0.0009043332905853999;599;116.2;1.0
25;9;2;0.0008158529636918283;599;111.67;1.0
26;9;3;0.0008846651249522412;599;123.13;1.0
27;10;1;0.0008629961188671046;599;117.33;1.0
28;10;2;0.0009489829077304245;599;118.12;1.0
29;10;3;0.0008902706848549428;599;117.03;1.0
